img_path,country,continent
geoguessr_data/compressed_dataset/Russia/canvas_1629834989.jpg,Russia,EU
geoguessr_data/compressed_dataset/Ireland/canvas_1630041825.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Thailand/canvas_1630013882.jpg,Thailand,AS
geoguessr_data/compressed_dataset/Spain/canvas_1630003394.jpg,Spain,EU
geoguessr_data/compressed_dataset/Germany/canvas_1629856651.jpg,Germany,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629971992.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Taiwan/canvas_1629449251.jpg,Taiwan,AS
geoguessr_data/compressed_dataset/South Korea/canvas_1629936581.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Jordan/canvas_1629777121.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Norway/canvas_1629519166.jpg,Norway,EU
geoguessr_data/compressed_dataset/Slovenia/canvas_1629874611.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/United States/canvas_1630287363.jpg,United States,NA
geoguessr_data/compressed_dataset/Malaysia/canvas_1629686675.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629765585.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629313800.jpg,Japan,AS
geoguessr_data/compressed_dataset/Peru/canvas_1630117924.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Japan/canvas_1630282562.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1630253106.jpg,United States,NA
geoguessr_data/compressed_dataset/Russia/canvas_1629475088.jpg,Russia,EU
geoguessr_data/compressed_dataset/United States/canvas_1630303561.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629507103.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629543113.jpg,United States,NA
geoguessr_data/compressed_dataset/Canada/canvas_1629789768.jpg,Canada,NA
geoguessr_data/compressed_dataset/South Africa/canvas_1629301913.jpg,South Africa,AF
geoguessr_data/compressed_dataset/Germany/canvas_1629854894.jpg,Germany,EU
geoguessr_data/compressed_dataset/Poland/canvas_1630055924.jpg,Poland,EU
geoguessr_data/compressed_dataset/Russia/canvas_1629826155.jpg,Russia,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629427304.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1630055255.jpg,United States,NA
geoguessr_data/compressed_dataset/Romania/canvas_1629525832.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629776943.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629282537.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1630043270.jpg,Japan,AS
geoguessr_data/compressed_dataset/New Zealand/canvas_1629582915.jpg,New Zealand,OC
geoguessr_data/compressed_dataset/United States/canvas_1629411789.jpg,United States,NA
geoguessr_data/compressed_dataset/Australia/canvas_1629833955.jpg,Australia,OC
geoguessr_data/compressed_dataset/United States/canvas_1629403369.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629521104.jpg,Japan,AS
geoguessr_data/compressed_dataset/Canada/canvas_1629908819.jpg,Canada,NA
geoguessr_data/compressed_dataset/United States/canvas_1629323797.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1630026295.jpg,United States,NA
geoguessr_data/compressed_dataset/Sweden/canvas_1629790376.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Mexico/canvas_1630062582.jpg,Mexico,NA
geoguessr_data/compressed_dataset/Spain/canvas_1629737906.jpg,Spain,EU
geoguessr_data/compressed_dataset/Australia/canvas_1629613620.jpg,Australia,OC
geoguessr_data/compressed_dataset/United States/canvas_1630287317.jpg,United States,NA
geoguessr_data/compressed_dataset/Brazil/canvas_1630016565.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1629392739.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629446740.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629859981.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1630050786.jpg,United States,NA
geoguessr_data/compressed_dataset/France/canvas_1629508653.jpg,France,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629314804.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1630336604.jpg,United States,NA
geoguessr_data/compressed_dataset/South Africa/canvas_1630123568.jpg,South Africa,AF
geoguessr_data/compressed_dataset/Italy/canvas_1630123696.jpg,Italy,EU
geoguessr_data/compressed_dataset/Norway/canvas_1629847217.jpg,Norway,EU
geoguessr_data/compressed_dataset/United States/canvas_1629782391.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629586224.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Spain/canvas_1630139454.jpg,Spain,EU
geoguessr_data/compressed_dataset/Israel/canvas_1630275079.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/France/canvas_1629271289.jpg,France,EU
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629446916.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Mexico/canvas_1630021442.jpg,Mexico,NA
geoguessr_data/compressed_dataset/United States/canvas_1629567305.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629262517.jpg,United States,NA
geoguessr_data/compressed_dataset/New Zealand/canvas_1630280654.jpg,New Zealand,OC
geoguessr_data/compressed_dataset/United States/canvas_1629737730.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629995472.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629864423.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1629442851.jpg,United States,NA
geoguessr_data/compressed_dataset/New Zealand/canvas_1629426664.jpg,New Zealand,OC
geoguessr_data/compressed_dataset/Malaysia/canvas_1629866495.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Canada/canvas_1629259842.jpg,Canada,NA
geoguessr_data/compressed_dataset/Mexico/canvas_1629844197.jpg,Mexico,NA
geoguessr_data/compressed_dataset/Japan/canvas_1630039757.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629263453.jpg,Japan,AS
geoguessr_data/compressed_dataset/France/canvas_1629907117.jpg,France,EU
geoguessr_data/compressed_dataset/Thailand/canvas_1630017648.jpg,Thailand,AS
geoguessr_data/compressed_dataset/Netherlands/canvas_1629868031.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629875300.jpg,Japan,AS
geoguessr_data/compressed_dataset/Canada/canvas_1629525679.jpg,Canada,NA
geoguessr_data/compressed_dataset/Japan/canvas_1630217241.jpg,Japan,AS
geoguessr_data/compressed_dataset/Australia/canvas_1629781631.jpg,Australia,OC
geoguessr_data/compressed_dataset/Portugal/canvas_1629541161.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Lithuania/canvas_1629670780.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/United States/canvas_1629268210.jpg,United States,NA
geoguessr_data/compressed_dataset/Canada/canvas_1630125347.jpg,Canada,NA
geoguessr_data/compressed_dataset/United States/canvas_1629349124.jpg,United States,NA
geoguessr_data/compressed_dataset/Netherlands/canvas_1629668218.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/United States/canvas_1629444594.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629873872.jpg,United States,NA
geoguessr_data/compressed_dataset/Argentina/canvas_1629667835.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Japan/canvas_1629409428.jpg,Japan,AS
geoguessr_data/compressed_dataset/Malaysia/canvas_1629762819.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Russia/canvas_1629908009.jpg,Russia,EU
